,Year,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Year,1.0,0.015165417300923406,-0.152216923268364,-0.1097602324597193,-0.1560950020797678,-0.12780572181057728,-0.18059089850039356,0.29745367271004297,0.3021395400619491,0.22779246569325837,-0.23860852236877014,-0.23905293135323455,-0.045745468081588914,0.047991773221489606,-0.1509481005758127,-0.15888535345796367,-0.003983802916335593,-0.20207476890245013,-0.043906372018315765,-0.09714934108786309,-0.12997379446349677,-0.16566806079901247,-0.08209208622169768,-0.21017567984820615,-0.23217078305326283,-0.12718574550636014
Age,0.015165417300923406,1.0,0.0057980312822338885,0.030876531814506548,-0.008184470479674877,-0.005554675193579109,-0.005559031160606839,0.07001107351565852,0.06019757324037808,0.0759019281700219,-0.025591003040607997,-0.025381830436097763,-0.011148219531074413,0.05686716661017412,-0.02007291949528333,-0.03773301959136189,0.11440542914166135,-0.047739510157452945,0.027334987966099632,0.0035802405229561143,0.042016739382705996,-0.009952435583493556,-0.03448197880446633,-0.03651261262581268,-0.014317574408620259,-0.004842878657389497
G,-0.152216923268364,0.0057980312822338885,1.0,0.8400302109612424,0.7090506248062977,0.7175922578005957,0.4254206721449552,0.35110715978265594,0.368012371155942,0.030855208803392743,0.6746739627815962,0.6846186761111042,0.336757374894897,0.39023983851085003,0.5998265866613426,0.6127900374266364,0.14604571041377457,0.5849233387489492,0.6607034861788895,0.6566614776171668,0.5430101618087493,0.6821144368219287,0.43210953430258825,0.7104508301419838,0.8364884130605772,0.702310858216955
MP,-0.1097602324597193,0.030876531814506548,0.8400302109612424,1.0,0.9202900165935473,0.927328621828435,0.41800504584174253,0.46172022293425574,0.4824189155589478,0.08115903819460721,0.8742268250362406,0.8825373321065696,0.34431561407434436,0.39552735376643666,0.8159805393990461,0.8222301526896947,0.2074889445774839,0.662959012540144,0.8038900200104399,0.7829950791766696,0.7107812070575541,0.8272270091740601,0.49897904277951816,0.8898249531958042,0.8570742609198462,0.9206312990057403
FG,-0.1560950020797678,-0.008184470479674877,0.7090506248062977,0.9202900165935473,1.0,0.9899234030524411,0.43262916126427564,0.39608466006515325,0.41551833839520463,0.06997706952736492,0.975337520155173,0.9737913632613479,0.3524084512197412,0.3774981751659761,0.8913508947122161,0.8919745961610137,0.21977586529576135,0.6389830919566177,0.7570098068792588,0.7421485385492573,0.6506047575266604,0.7621759450480866,0.48242163120284215,0.8904092045540488,0.7634703270053822,0.9924959634189902
FGA,-0.12780572181057728,-0.005554675193579109,0.7175922578005957,0.927328621828435,0.9899234030524411,1.0,0.3596140036813321,0.46621279734707255,0.49175648819877876,0.10404206472595846,0.9476927659967855,0.960766565468625,0.2933853737847919,0.3314360698269667,0.8816294106891187,0.8763774704475514,0.241510443896457,0.5916220409462464,0.7301449825608972,0.7077174469722232,0.6749096206665686,0.7780984351476034,0.44014118590875206,0.8935241966141292,0.7520672954954315,0.9886060764033499
FG%,-0.18059089850039356,-0.005559031160606839,0.4254206721449552,0.41800504584174253,0.43262916126427564,0.3596140036813321,1.0,-0.058726187671439105,-0.0779291122042718,-0.06522871005457528,0.47726662716179474,0.42665861776160857,0.8640132908740054,0.8616885159769418,0.3719101290202083,0.4018698559899746,-0.004785111091165641,0.49793758854198333,0.45424181171022004,0.48287242124084667,0.192331525745666,0.29544282553058226,0.3859876201352368,0.3737135043704324,0.4779891497822443,0.40674495094430574
3P,0.29745367271004297,0.07001107351565852,0.35110715978265594,0.46172022293425574,0.39608466006515325,0.46621279734707255,-0.058726187671439105,1.0,0.9904541302006595,0.4354764224687036,0.18364927797297237,0.2054562283035826,0.044699919781608054,0.2848925582787046,0.3045078875968987,0.26126665319490644,0.2727825484035876,-0.08093193640015174,0.190187256543401,0.10728123576072497,0.405718630921028,0.3997501388358737,-0.049852004781170016,0.33437050502285376,0.21189243248778225,0.4534348765300287
3PA,0.3021395400619491,0.06019757324037808,0.368012371155942,0.4824189155589478,0.41551833839520463,0.49175648819877876,-0.0779291122042718,0.9904541302006595,1.0,0.4186855072917789,0.20674857579573375,0.23095826268065955,0.0448269201633563,0.2551098906668716,0.3279469105323643,0.2860684613992056,0.27220284072992773,-0.07152507240612282,0.20261307738415535,0.11910847420372943,0.4359598580896057,0.4315756803704738,-0.04541366646276345,0.3650243278575986,0.22633985896129338,0.47266276044328936
3P%,0.22779246569325837,0.0759019281700219,0.030855208803392743,0.08115903819460721,0.06997706952736492,0.10404206472595846,-0.06522871005457528,0.4354764224687036,0.4186855072917789,1.0,-0.02976526139106407,-0.017108277180600075,-0.07443400359941918,0.23809309464723097,0.023660728902201014,-0.012125091186664811,0.21350445658168407,-0.22757295572976943,-0.08209946418317224,-0.13238267598300366,0.1530533911462346,0.09989555064490602,-0.1829980147363371,0.03220399707731069,-0.07443052954888596,0.09513572414735642
2P,-0.23860852236877014,-0.025591003040607997,0.6746739627815962,0.8742268250362406,0.975337520155173,0.9476927659967855,0.47726662716179474,0.18364927797297237,0.20674857579573375,-0.02976526139106407,1.0,0.9931028494105103,0.3665251508965038,0.3356478162545828,0.8810365379759916,0.8920984911716088,0.16970955122381254,0.7035161204920382,0.7646981926472847,0.768717298743121,0.5989774687221796,0.7198544364964524,0.5284386783719286,0.8728500908880719,0.7663970356464372,0.953518348340602
