,PTS_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,3P%,FT%,eFG%,3PA_per36,FTA_per36,TOV_per36,PF_per36
PTS_per36,1.0,-0.06293522221226328,0.144135375768874,0.06397224094135152,-0.10442016100923208,0.19295533781847427,0.37322207193887696,0.3135815408539133,0.16005250924846126,0.6755815297939328,0.37854689105713274,-0.32269668034761906
TRB_per36,-0.06293522221226328,1.0,-0.5521885361920705,-0.30803885161388767,0.6239132098391069,-0.4802042092645619,-0.41536734154750504,0.15175801852643372,-0.5082542552088303,0.23359115460751464,-0.056300980780259975,0.42990326406854207
AST_per36,0.144135375768874,-0.5521885361920705,1.0,0.47980804995583365,-0.4378102484239062,0.28599242038591466,0.30359998758765333,-0.10122159111359244,0.21127362962966606,0.015577922596228309,0.4796018659242106,-0.38988996274843263
STL_per36,0.06397224094135152,-0.30803885161388767,0.47980804995583365,1.0,-0.25849481501309407,0.1561378563857999,0.09201870856595246,-0.10336661169506009,0.09456835791583378,0.025083245475407825,0.26133551856882237,-0.1261054685364882
BLK_per36,-0.10442016100923208,0.6239132098391069,-0.4378102484239062,-0.25849481501309407,1.0,-0.39375665992841713,-0.37036883322117853,0.13546441107019191,-0.3936786165900029,0.1280823944849747,-0.0651847478770506,0.38428116374181737
3P%,0.19295533781847427,-0.4802042092645619,0.28599242038591466,0.1561378563857999,-0.39375665992841713,1.0,0.35098955065910137,0.11384339035885363,0.5992954164660471,-0.14912796337290948,-0.059384219335626647,-0.41429370554584083
FT%,0.37322207193887696,-0.41536734154750504,0.30359998758765333,0.09201870856595246,-0.37036883322117853,0.35098955065910137,1.0,0.05911668672115916,0.3267746877472356,0.06363833183723278,0.05534941695866423,-0.38386492223989793
eFG%,0.3135815408539133,0.15175801852643372,-0.10122159111359244,-0.10336661169506009,0.13546441107019191,0.11384339035885363,0.05911668672115916,1.0,0.10019850645798024,0.11315951731122219,-0.1196363568737812,-0.11911376398568096
3PA_per36,0.16005250924846126,-0.5082542552088303,0.21127362962966606,0.09456835791583378,-0.3936786165900029,0.5992954164660471,0.3267746877472356,0.10019850645798024,1.0,-0.2434897824919482,-0.13597298355126045,-0.41929682653017825
FTA_per36,0.6755815297939328,0.23359115460751464,0.015577922596228309,0.025083245475407825,0.1280823944849747,-0.14912796337290948,0.06363833183723278,0.11315951731122219,-0.2434897824919482,1.0,0.46016360988614735,-0.009267140193557826
TOV_per36,0.37854689105713274,-0.056300980780259975,0.4796018659242106,0.26133551856882237,-0.0651847478770506,-0.059384219335626647,0.05534941695866423,-0.1196363568737812,-0.13597298355126045,0.46016360988614735,1.0,0.0680237931391366
PF_per36,-0.32269668034761906,0.42990326406854207,-0.38988996274843263,-0.1261054685364882,0.38428116374181737,-0.41429370554584083,-0.38386492223989793,-0.11911376398568096,-0.41929682653017825,-0.009267140193557826,0.0680237931391366,1.0
